City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,22.57,79,7,6.96,GS,1689460864
1,chonchi,-42.6128,-73.8092,42.12,93,24,2.95,CL,1689460971
2,port-aux-francais,-49.35,70.2167,34.95,57,99,21.12,TF,1689460877
3,amahai,-3.3333,128.9167,80.01,87,100,3.15,ID,1689461039
4,inda silase,14.1031,38.2829,59.29,87,96,2.42,ET,1689461040
5,bethel,41.3712,-73.414,83.68,77,0,8.05,US,1689460877
6,udachny,66.4167,112.4,44.46,75,24,7.14,RU,1689461041
7,changyon,38.2508,125.0961,73.18,83,100,1.01,KP,1689461041
8,morehead city,34.7229,-76.726,84.25,87,20,16.11,US,1689460749
9,mariental,-24.6333,17.9667,53.96,27,0,6.87,NA,1689461042
10,celestun,20.8667,-90.4,86.11,71,22,18.7,MX,1689461043
11,ushuaia,-54.8,-68.3,31.66,80,20,16.11,AR,1689460882
12,vorgashor,67.5833,63.95,49.87,72,29,1.74,RU,1689460808
13,kapuskasing,49.4169,-82.4331,77.09,60,100,6.91,CA,1689461044
14,sonoita,31.85,-112.8333,104.79,22,54,11.36,MX,1689461045
15,nova vicosa,-17.8919,-39.3719,73.02,71,100,10.45,BR,1689461045
16,iqaluit,63.7506,-68.5145,55.13,76,40,5.75,CA,1689461046
17,geraldton,-28.7667,114.6,39.61,81,0,13.8,AU,1689461046
18,rikaze,29.25,88.8833,59.25,61,99,2.39,CN,1689461046
19,karratha,-20.7377,116.8463,60.78,45,1,16.87,AU,1689461047
20,constantia,44.1833,28.65,68.7,79,0,7.07,RO,1689460889
21,gouyave,12.1646,-61.7296,81.37,89,40,12.66,GD,1689461048
22,waitangi,-43.9535,-176.5597,51.82,82,98,3.0,NZ,1689461049
23,victoria falls,-17.9235,25.843,52.65,60,0,2.95,ZW,1689461049
24,katsuura,35.1333,140.3,80.62,85,100,20.24,JP,1689461050
25,port elizabeth,-33.918,25.5701,57.49,77,0,3.44,ZA,1689461050
26,edinburgh of the seven seas,-37.0676,-12.3116,55.27,82,46,33.89,SH,1689461051
27,gebeit,21.0667,36.3167,88.88,28,86,6.78,SD,1689461051
28,kimbe,-5.5502,150.1429,83.62,65,49,9.71,PG,1689461052
29,olonkinbyen,70.9221,-8.7187,39.51,98,100,17.83,SJ,1689461052
30,san sebastian de la gomera,28.0916,-17.1133,77.36,78,0,4.61,ES,1689461053
31,saipan,15.1355,145.701,86.7,100,20,14.97,MP,1689460774
32,port mathurin,-19.6833,63.4167,73.98,80,15,17.22,MU,1689461054
33,mimizan,44.2006,-1.2289,69.89,68,54,5.55,FR,1689461054
34,greymouth,-42.4667,171.2,51.62,94,100,8.95,NZ,1689461054
35,redencao,-4.2258,-38.7306,73.33,97,7,2.46,BR,1689461055
36,puerto ayora,-0.7393,-90.3518,84.16,90,39,7.0,EC,1689461055
37,ilulissat,69.2167,-51.1,46.42,87,100,8.05,GL,1689461056
38,hermanus,-34.4187,19.2345,59.81,78,91,13.44,ZA,1689461056
39,ribeira grande,38.5167,-28.7,66.78,95,100,5.01,PT,1689460959
40,khadan khak,30.7477,67.7085,73.17,42,0,5.37,PK,1689461057
41,yellowknife,62.456,-114.3525,70.32,43,75,6.91,CA,1689461058
42,whitehorse,60.7161,-135.0538,78.1,30,75,16.11,CA,1689460841
43,tura,25.5198,90.2201,74.01,93,100,5.59,IN,1689461059
44,adamstown,-25.066,-130.1015,71.62,82,77,21.0,PN,1689461060
45,labytnangi,66.6572,66.4183,49.41,68,58,5.12,RU,1689461060
46,tommot,58.9564,126.2925,60.46,67,34,3.11,RU,1689461061
47,wailua homesteads,22.0669,-159.378,83.19,75,40,12.66,US,1689461061
48,saint-pierre,-21.3393,55.4781,71.28,88,75,18.41,RE,1689461062
49,port shepstone,-30.7414,30.455,63.28,49,4,10.27,ZA,1689461062
50,longyearbyen,78.2186,15.6401,51.64,66,0,12.66,SJ,1689460897
51,severo-yeniseyskiy,60.3725,93.0408,50.4,94,100,7.4,RU,1689461063
52,enewetak,11.3474,162.3373,81.93,81,51,16.37,MH,1689461063
53,hawaiian paradise park,19.5933,-154.9731,82.04,72,100,4.61,US,1689460800
54,cabo san lucas,22.8909,-109.9124,96.62,49,75,3.44,MX,1689460829
55,lihue,21.9789,-159.3672,83.79,68,40,12.66,US,1689461065
56,karaman,37.0833,33.25,67.62,37,0,8.59,TR,1689461065
57,stanley,54.868,-1.6985,57.27,90,75,10.36,GB,1689460887
58,georgetown,5.4112,100.3354,83.23,92,20,2.3,MY,1689460903
59,kailua-kona,19.6406,-155.9956,83.28,76,40,11.5,US,1689460819
60,hithadhoo,-0.6,73.0833,81.79,76,0,4.12,MV,1689461067
61,port saint john's,-31.6229,29.5448,64.62,51,45,10.31,ZA,1689461067
62,puerto natales,-51.7236,-72.4875,29.62,75,64,4.94,CL,1689461008
63,fort bragg,35.139,-79.006,84.34,88,40,9.22,US,1689461068
64,tiksi,71.6872,128.8694,35.92,97,100,11.07,RU,1689461068
65,ghanzi,-21.5667,21.7833,52.84,48,2,8.3,BW,1689461069
66,sola,-13.8833,167.55,78.04,79,95,26.28,VU,1689461069
67,cambebba,-3.6209,-38.8291,82.22,3,7,11.25,BR,1689461070
68,avarua,-21.2078,-159.775,78.85,78,75,3.44,CK,1689461070
69,zaragoza,41.6561,-0.8773,68.45,58,0,25.32,ES,1689460997
70,sao vicente,-23.9631,-46.3919,68.99,26,2,1.01,BR,1689460886
71,usogorsk,63.4106,48.6872,58.14,83,98,3.02,RU,1689461072
72,bilibino,68.0546,166.4372,79.84,35,9,5.86,RU,1689461072
73,brindisi,40.5833,17.6667,85.44,46,0,4.81,IT,1689461073
74,nouadhibou,20.931,-17.0347,73.38,83,26,10.36,MR,1689461073
75,souillac,-20.5167,57.5167,73.78,88,40,6.91,MU,1689461074
76,atafu village,-8.5421,-172.5159,83.41,70,55,10.92,TK,1689460873
77,arrifes,37.7667,-25.7,66.45,77,40,2.3,PT,1689461074
78,sandnessjoen,66.0217,12.6316,52.32,65,44,16.93,NO,1689461075
79,sovetskaya gavan',48.9723,140.2878,58.08,82,100,2.35,RU,1689461075
80,puerto deseado,-47.7503,-65.8938,36.48,82,73,12.64,AR,1689461076
81,barabai,-2.5833,115.3833,71.76,97,100,1.68,ID,1689461076
82,simanggang,1.2472,111.4528,75.18,100,100,3.44,MY,1689461077
83,fale old settlement,-9.3852,-171.2468,82.94,72,34,8.39,TK,1689461077
84,dudinka,69.4058,86.1778,36.63,80,81,10.74,RU,1689461077
85,nema,57.5067,50.5011,55.06,86,98,5.88,RU,1689461078
86,tofol,5.3248,163.0078,82.76,79,98,15.48,FM,1689461078
87,rio grande,-32.035,-52.0986,51.91,80,60,5.91,BR,1689461079
88,marks,51.7111,46.7486,59.2,92,100,8.01,RU,1689461079
89,blackmans bay,-43.0167,147.3167,53.73,71,96,12.73,AU,1689461080
90,puerto del rosario,28.5004,-13.8627,74.95,73,75,20.71,ES,1689461080
91,tucurui,-3.7661,-49.6725,81.73,58,34,0.74,BR,1689461080
92,ta`u,-14.2336,-169.5144,80.85,76,88,16.31,AS,1689461081
93,upington,-28.4478,21.2561,52.18,50,39,3.44,ZA,1689461081
94,yeppoon,-23.1333,150.7333,64.18,72,86,11.54,AU,1689461082
95,mazagao,-0.115,-51.2894,84.25,81,39,5.79,BR,1689461082
96,laguna,38.421,-121.4238,109.18,25,0,5.75,US,1689461082
97,ghat,24.9647,10.1728,86.36,10,0,6.76,LY,1689461083
98,kodiak,57.79,-152.4072,56.71,88,100,8.05,US,1689460925
99,goundi,9.3627,17.366,71.56,88,98,4.16,TD,1689461084
100,coquimbo,-29.9533,-71.3436,56.93,88,0,8.05,CL,1689461084
101,al artawiyah,26.5053,45.3444,87.66,9,6,8.5,SA,1689461085
102,antsiranana,-12.2787,49.2917,71.51,66,48,6.71,MG,1689461085
103,selkirk,50.1436,-96.8845,71.1,47,96,13.53,CA,1689461085
104,margaret river,-33.95,115.0667,55.98,64,2,16.15,AU,1689461086
105,zabol,32.25,67.25,75.09,17,0,9.08,AF,1689461086
106,ruidoso,33.3317,-105.673,76.26,60,0,10.36,US,1689461087
107,eyl,7.9803,49.8164,77.18,74,1,24.34,SO,1689461087
108,aktobe,50.2797,57.2072,66.29,94,20,11.18,KZ,1689461088
109,tralee,52.2704,-9.7026,55.31,91,99,17.0,IE,1689461088
110,luderitz,-26.6481,15.1594,60.22,54,0,13.62,NA,1689461088
111,papatowai,-46.5619,169.4708,47.73,75,59,18.88,NZ,1689461089
112,keningau,5.3378,116.1602,71.98,90,100,0.96,MY,1689461090
113,jamestown,42.097,-79.2353,80.24,65,0,0.0,US,1689460908
114,ponta delgada,37.7333,-25.6667,68.72,77,40,2.3,PT,1689461090
115,gorno-altaysk,51.9561,85.955,60.76,75,45,6.33,RU,1689461091
116,uturoa,-16.7333,-151.4333,79.9,61,3,9.84,PF,1689461091
117,albany,42.6001,-73.9662,86.41,73,98,1.99,US,1689460918
118,melgar,4.2048,-74.6407,83.82,64,35,4.74,CO,1689461092
119,kidal,18.4411,1.4078,81.7,60,79,12.93,ML,1689461093
120,puerto morazan,12.8504,-87.1717,92.17,64,91,6.64,NI,1689461093
121,punta arenas,-53.15,-70.9167,32.11,80,20,21.85,CL,1689460932
122,akureyri,65.6835,-18.0878,42.73,93,75,11.5,IS,1689461094
123,mount pearl,47.5166,-52.7813,73.74,56,75,10.36,CA,1689461095
124,cidreira,-30.1811,-50.2056,54.97,85,99,7.14,BR,1689461095
125,banjar,-8.19,114.9675,72.64,88,35,6.55,ID,1689461095
126,naze,28.3667,129.4833,81.52,81,50,15.66,JP,1689461096
127,iskateley,67.6803,53.1512,60.01,67,12,4.74,RU,1689461096
128,tobelo,1.7284,128.0095,77.56,86,100,6.4,ID,1689461097
129,isafjordur,66.0755,-23.124,43.11,95,100,8.12,IS,1689461097
130,al fayyum,29.31,30.8418,83.48,35,0,10.49,EG,1689461098
131,kalyandurg,14.5452,77.1055,73.98,79,100,17.09,IN,1689461098
132,ust'-kulom,61.6864,53.6902,50.25,78,66,3.11,RU,1689461099
133,mount isa,-20.7333,139.5,64.17,55,20,3.44,AU,1689461099
134,aras-asan,8.8908,126.3033,79.0,86,93,5.14,PH,1689461100
135,cooper's town,26.8667,-77.5167,85.12,73,100,15.79,BS,1689461100
136,praia da vitoria,38.7333,-27.0667,70.05,83,75,10.09,PT,1689460891
137,burang,30.25,81.1667,53.01,82,100,3.47,CN,1689461101
138,ancud,-41.8697,-73.8203,43.23,80,19,5.68,CL,1689461102
139,kirkwall,58.9848,-2.9587,55.45,94,13,6.91,GB,1689461103
140,nar'yan-mar,67.6713,53.087,60.13,67,11,4.54,RU,1689461104
141,tsengel,49.4783,100.8894,60.46,81,64,1.61,MN,1689461104
142,mahina,-17.5065,-149.489,83.97,61,20,4.61,PF,1689461105
143,lebu,-37.6167,-73.65,48.24,81,61,15.61,CL,1689461105
144,ilha de mocambique,-15.0342,40.7358,73.67,75,27,15.12,MZ,1689461106
145,chibougamau,49.9168,-74.3659,76.62,50,75,10.36,CA,1689461106
146,baiti,13.745,-14.7482,78.58,79,81,7.72,SN,1689461107
147,sitka,57.0531,-135.33,62.49,77,40,3.44,US,1689461107
148,ouarzazat,30.9189,-6.8934,93.49,6,20,6.91,MA,1689461108
149,broome,42.2506,-75.833,84.67,67,40,4.61,US,1689461108
150,al ghayzah,16.2079,52.176,78.15,90,11,8.97,YE,1689461109
151,nemuro,43.3236,145.575,55.51,99,100,10.58,JP,1689460895
152,kencong,-8.2833,113.3667,73.33,88,79,3.24,ID,1689461110
153,hamilton,39.1834,-84.5333,82.26,81,75,6.91,US,1689461110
154,daoukro,7.0591,-3.9631,71.98,99,100,3.18,CI,1689461111
155,koungou,-12.7336,45.2042,76.71,73,75,12.66,YT,1689461112
156,gisborne,-38.6533,178.0042,58.68,66,100,11.07,NZ,1689461112
157,salalah,17.0151,54.0924,78.89,100,100,6.91,OM,1689460914
158,new norfolk,-42.7826,147.0587,54.91,75,98,10.42,AU,1689461113
159,serdobsk,52.4586,44.2169,55.29,95,100,9.13,RU,1689461113
160,kijang,35.2442,129.2139,73.13,92,99,8.95,KR,1689461114
161,ikot ekpene,5.1794,7.7108,74.57,96,100,4.88,NG,1689461114
162,college,64.8569,-147.8028,67.59,66,100,6.91,US,1689461115
163,invercargill,-46.4,168.35,47.3,82,50,16.42,NZ,1689460897
164,conceicao da barra,-18.5933,-39.7322,71.85,66,96,6.64,BR,1689461108
165,inhambane,-23.865,35.3833,63.7,80,0,3.02,MZ,1689461116
166,west island,-12.1568,96.8225,76.98,73,100,16.11,CC,1689461117
167,santa ana,33.7456,-117.8678,105.4,58,40,13.8,US,1689461118
168,punasa,22.2333,76.4,75.76,93,100,9.08,IN,1689461119
169,baruun-urt,46.6806,113.2792,67.87,50,1,2.86,MN,1689461119
170,watampone,-4.5386,120.3279,75.49,86,73,3.85,ID,1689461120
171,puerto carreno,6.189,-67.4859,76.98,94,40,2.3,CO,1689461120
172,kurchatov,51.6601,35.6521,57.61,91,26,6.64,RU,1689461121
173,gaigeturi,33.4644,126.3183,82.45,83,40,6.91,KR,1689461121
174,tapejara,-28.0681,-52.0139,50.38,84,35,1.19,BR,1689461122
175,smithers,54.7804,-127.1743,75.52,38,75,6.91,CA,1689460917
176,klyuchi,52.2667,79.1667,70.2,40,49,16.22,RU,1689460898
177,san borja,-14.8167,-66.85,70.57,67,0,1.68,BO,1689461123
178,kone,-21.0595,164.8658,73.06,47,16,10.29,NC,1689461124
179,ephrata,40.1798,-76.1788,88.25,69,96,1.99,US,1689461124
180,turceni,44.6833,23.3667,69.89,70,0,3.56,RO,1689461124
181,qaqortoq,60.7167,-46.0333,42.75,92,100,4.97,GL,1689460903
182,selfoss,63.9331,-20.9971,50.04,77,77,9.95,IS,1689461125
183,howard springs,-12.497,131.047,74.82,72,61,8.23,AU,1689461126
184,ceeldheer,3.8488,47.1806,75.99,84,37,16.4,SO,1689461126
185,amga,60.8953,131.9608,60.91,51,25,1.63,RU,1689461127
186,papao,-17.75,-149.55,83.88,66,2,8.01,PF,1689461127
187,quellon,-43.1167,-73.6167,43.05,87,40,4.61,CL,1689461128
188,dunedin,-45.8742,170.5036,54.81,61,90,1.99,NZ,1689461128
189,terrace,54.5163,-128.6035,66.11,82,100,4.61,CA,1689461129
190,saint-philippe,-21.3585,55.7679,71.19,88,68,14.18,RE,1689461130
191,hovd,48.0056,91.6419,70.93,33,4,7.7,MN,1689461130
192,aasiaat,68.7098,-52.8699,37.69,96,100,10.85,GL,1689461131
193,victoria point,-27.5833,153.3,64.94,77,7,5.86,AU,1689461132
194,trifesti,47.45,27.5167,74.17,50,14,1.88,RO,1689461132
195,richards bay,-28.783,32.0377,59.7,61,7,6.31,ZA,1689461133
196,durant,33.994,-96.3708,90.73,67,0,8.05,US,1689461101
197,camana,-16.6228,-72.7111,63.64,85,20,5.21,PE,1689461133
198,vila velha,-20.3297,-40.2925,68.95,80,75,4.61,BR,1689461134
199,saidpur,25.7777,88.8917,78.39,89,100,9.73,BD,1689461134
200,pacific grove,36.6177,-121.9166,89.65,78,40,9.22,US,1689461135
201,ust-nera,64.5667,143.2,62.83,84,83,6.49,RU,1689461135
202,piacabucu,-10.4056,-36.4344,74.91,86,4,7.94,BR,1689461136
203,labuan,5.2767,115.2417,79.16,83,20,3.44,MY,1689461136
204,hirara,24.8,125.2833,84.06,89,40,17.27,JP,1689461136
205,notodden,59.5594,9.2585,61.75,89,100,4.0,NO,1689461137
206,tondano,1.3038,124.9112,68.09,90,100,2.04,ID,1689461137
207,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,94,75,4.47,RU,1689461121
208,yuzhno-kurilsk,44.0306,145.8556,56.28,97,100,4.47,RU,1689461138
209,uray,60.1247,64.7758,52.48,75,48,8.5,RU,1689461138
210,tolanaro,-25.0319,46.9987,68.07,73,20,9.22,MG,1689461139
211,east end,34.5507,-92.341,91.29,57,81,4.7,US,1689461139
212,kiunga,-6.1219,141.2906,72.52,93,100,1.99,PG,1689461140
213,sukuta,13.4103,-16.7082,80.62,83,75,4.61,GM,1689461141
214,mahibadhoo,3.7833,72.9667,82.78,75,36,7.85,MV,1689461141
215,narasapur,16.45,81.6667,80.8,82,100,6.24,IN,1689461142
216,nova sintra,14.8667,-24.7167,72.54,79,73,2.57,CV,1689461142
217,polyarnyy,69.1989,33.4478,55.08,96,98,2.93,RU,1689461001
218,hasaki,35.7333,140.8333,84.6,80,100,11.88,JP,1689461143
219,carnarvon,-24.8667,113.6333,55.62,41,0,13.47,AU,1689461144
220,fuglafjordur,62.244,-6.814,54.07,94,100,26.02,FO,1689461144
221,st. john's,47.5649,-52.7093,74.59,56,75,10.36,CA,1689461145
222,tsiombe,-25.3,45.4833,60.17,73,0,5.39,MG,1689461145
223,ola,59.5833,151.2833,62.15,74,41,5.68,RU,1689461145
224,plastun,44.7561,136.2939,62.08,83,99,5.91,RU,1689461146
225,dingras,18.1032,120.6967,76.75,94,100,3.44,PH,1689461146
226,ak-suu,42.4995,78.527,64.18,49,50,5.19,KG,1689461147
227,port lincoln,-34.7333,135.8667,51.49,65,48,4.74,AU,1689460972
228,holualoa,19.6228,-155.9522,76.84,77,40,11.5,US,1689461148
229,singkil,-7.9855,111.4161,70.63,92,39,4.99,ID,1689461148
230,vilyuchinsk,52.9306,158.4028,59.27,86,99,3.96,RU,1689461148
231,zhangye,38.9342,100.4517,71.98,31,2,8.05,CN,1689460998
232,la gi,10.6667,107.7833,78.04,90,100,9.64,VN,1689461149
233,conduaga,8.862,117.4893,80.15,87,100,12.71,PH,1689461150
234,shimoda,34.6667,138.95,78.93,89,79,18.48,JP,1689461150
235,port alfred,-33.5906,26.891,60.98,80,92,8.41,ZA,1689461150
236,kapa'a,22.0752,-159.319,84.52,74,40,12.66,US,1689461151
237,hami,42.8,93.45,87.62,12,5,8.77,CN,1689461151
238,sinabang,2.4803,96.3801,78.42,81,100,1.7,ID,1689461152
239,crane,31.3974,-102.3501,102.31,16,33,19.98,US,1689461152
240,codrington,-38.2667,141.9667,49.86,78,77,8.34,AU,1689461153
241,revda,56.801,59.9303,52.05,98,100,2.86,RU,1689461153
242,lilongwe,-13.9669,33.7873,55.63,61,0,4.43,MW,1689461153
243,saint croix,17.7397,-64.7388,82.85,74,40,13.8,VI,1689461154
244,solleftea,63.1667,17.2667,62.46,85,97,4.34,SE,1689461154
245,wynyard,-41.0,145.7167,51.98,80,65,12.5,AU,1689461155
246,mar del plata,-38.0023,-57.5575,47.95,68,20,17.0,AR,1689461155
247,bredasdorp,-34.5322,20.0403,58.1,58,84,8.05,ZA,1689460873
248,rio verde de mato grosso,-18.9181,-54.8442,71.19,43,20,3.29,BR,1689461156
249,ouesso,1.6136,16.0517,72.9,85,99,2.35,CG,1689461156
250,bahia de kino,28.8333,-111.9333,105.93,58,13,11.18,MX,1689461157
251,auki,-8.7676,160.7034,79.0,83,100,3.89,SB,1689461157
252,fortuna,40.5982,-124.1573,68.94,81,0,16.11,US,1689461158
253,essaouira,31.5125,-9.77,72.9,84,0,10.36,MA,1689461158
254,happy valley-goose bay,53.3168,-60.3315,82.71,47,75,3.44,CA,1689461159
255,cockburn town,21.4612,-71.1419,82.85,86,0,17.18,TC,1689461159
256,kuta,-8.7233,115.1723,75.15,88,75,2.3,ID,1689461160
257,along,28.1667,94.7667,75.34,99,99,1.83,IN,1689461160
258,diu,20.7141,70.9822,80.82,82,85,14.97,IN,1689461161
259,adigrat,14.277,39.462,58.46,80,15,3.38,ET,1689461161
260,portland,45.5234,-122.6762,99.61,28,20,12.66,US,1689460882
261,nagqu,31.5,92.0,36.72,88,13,2.21,CN,1689461162
262,waounde,15.2637,-12.8682,90.39,54,87,15.05,SN,1689461162
263,santa terezinha,-29.9002,-50.0904,55.02,86,99,6.31,BR,1689461163
264,jayapura,-2.5333,140.7,81.79,84,65,1.36,ID,1689461164
265,deoli,25.75,75.3833,79.66,81,100,5.3,IN,1689461164
266,chita,52.0333,113.55,57.09,94,2,0.0,RU,1689461165
267,bikenibeu village,1.3673,173.1241,87.76,70,20,5.75,KI,1689461165
268,mugumu,-1.85,34.7,65.23,50,76,2.98,TZ,1689461166
269,badger,64.8,-147.5333,67.51,63,100,6.91,US,1689460909
270,lerwick,60.1545,-1.1494,57.2,93,95,6.26,GB,1689460959
271,recani,31.2846,-4.2688,90.91,9,4,8.55,MA,1689461167
272,kununurra,-15.7667,128.7333,64.38,88,1,0.0,AU,1689461168
273,mangalia,43.8,28.5833,69.87,82,0,6.6,RO,1689461093
274,el granada,37.5027,-122.4694,98.92,69,20,14.97,US,1689461169
275,east london,-33.0153,27.9116,64.11,56,77,5.5,ZA,1689461007
276,berdigestyakh,62.0989,126.6992,53.58,52,25,6.33,RU,1689461169
277,thompson,55.7435,-97.8558,53.76,87,100,5.75,CA,1689460938
278,phang nga,8.4509,98.5298,82.44,95,100,4.99,TH,1689461170
279,merizo village,13.2658,144.6691,85.98,88,67,15.9,GU,1689461171
280,lalsot,26.5667,76.3333,78.42,88,100,5.53,IN,1689461172
281,vallenar,-28.5708,-70.7581,60.69,43,1,1.01,CL,1689461172
282,illizi,26.4833,8.4667,89.4,10,0,9.75,DZ,1689461173
283,mili,6.0815,171.735,83.19,75,100,17.45,MH,1689461173
284,arkhangel'sk,64.5401,40.5433,58.06,78,92,3.74,RU,1689461052
285,al jawf,29.5,38.75,88.83,13,3,9.44,SA,1689461174
286,campoverde,-8.4753,-74.8058,74.89,65,75,0.51,PE,1689461174
287,as sulayyil,20.4607,45.5779,91.65,10,58,3.27,SA,1689461175
288,dingli,35.8614,14.3822,79.81,21,0,5.75,MT,1689461175
289,balqash,46.8481,74.995,70.36,42,0,3.42,KZ,1689461176
290,ulladulla,-35.35,150.4667,57.09,76,96,4.59,AU,1689461176
291,kalininsk,51.5,44.4758,57.47,95,100,12.06,RU,1689461177
